Date,DayName,SolarRadiation_kWh_m2,SolarRadiation_Wh_m2,Sunrise,Sunset,Source,FetchedAt
2026-01-18,Today,1.166,1166.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-19,Today,0.753,753.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-20,Today,1.195,1195.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-21,Today,0.427,427.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-22,Today,0.353,353.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-23,Today,0.7,700.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-24,Today,1.279,1279.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-25,Today,1.503,1503.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-26,Today,1.094,1094.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-27,Today,0.393,393.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-28,Wednesday,0.401,401.0,,,tutiempo.net,2026-01-18 00:08:30
2026-01-29,Tomorrow,0.401,401.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-29,Tuesday,0.492,492.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-30,Wednesday,1.458,1458.0,,,tutiempo.net,2026-01-18 00:07:50
2026-01-31,Thursday,0.772,772.0,,,tutiempo.net,2026-01-18 00:07:50
2026-02-01,Friday,0.4,400.0,,,tutiempo.net,2026-01-18 00:07:50
